repo_owner,repo_name,Number of Components,Total Vulnerabilities,Low,Medium,High,Critical,Category
benchmark-action,github-action-benchmark,104,3,0,1,1,1,Code Quality
laytan,setup-odin,120,1,0,0,1,0,Utilities
softprops,setup-aws-copilot,10,2,0,1,1,0,Deployment
github,command,48,0,0,0,0,0,Utilities
aws-actions,amazon-ecr-login,102,0,0,0,0,0,Deployment
mattzcarey,code-review-gpt,1162,17,6,5,6,0,Code Review
borchero,terraform-plan-comment,596,3,0,1,2,0,Deployment
ExpediaGroup,spinnaker-pipeline-trigger,755,10,0,2,5,3,Project Management
Azure,k8s-set-context,132,4,0,2,1,1,Deployment
CircleCI-Public,trigger-circleci-pipeline-action,36,3,0,3,0,0,Deployment
fabasoad,twilio-voice-call-action,351,1,0,0,1,0,Utilities
julia-actions,RegisterAction,22,3,0,1,2,0,Publishing
corymhall,cdk-diff-action,845,0,0,0,0,0,Continuous Integration
TinkurLab,monorepo-pr-labeler-action,28,0,0,0,0,0,Code Review
dawidd6,action-ansible-playbook,11,0,0,0,0,0,Deployment
TimDaub,hetzner-cloud-deploy-server-action,5,3,0,2,1,0,Deployment
YOCKOW,Action-setup-swift,39,0,0,0,0,0,Utilities
nix-community,cache-nix-action,92,2,2,0,0,0,Continuous Integration
julia-actions,install-juliaup,41,0,0,0,0,0,Continuous Integration
devops-actions,json-to-file,51,1,0,0,0,1,Utilities
Cyberbeni,install-swift-tool,432,2,1,0,1,0,Utilities
Mozilla-Actions,sccache-action,33,0,0,0,0,0,Dependency Management
ashutoshvarma,action-cmake-build,5,1,0,1,0,0,Testing
google-github-actions,upload-cloud-storage,106,0,0,0,0,0,Deployment
stainless-api,upload-openapi-spec-action,167,1,0,0,1,0,Utilities
tj-actions,glob,543,0,0,0,0,0,Continuous Integration
jontze,action-mdbook,801,1,0,0,1,0,Deployment
synopsys-sig,detect-action,57,3,0,1,2,0,Security
usimd,pi-gen-action,52,3,3,0,0,0,Publishing
parkerbxyz,suggest-changes,26,0,0,0,0,0,Code Review
sysdiglabs,scan-action,36,0,0,0,0,0,Security
OctopusDeploy,install-octopus-cli-action,25,0,0,0,0,0,Deployment
Apple-Actions,download-provisioning-profiles,48,9,1,4,4,0,Mobile
Balastrong,chess-stats-action,9,1,0,1,0,0,Utilities
yc-actions,yc-sls-container-deploy,104,0,0,0,0,0,Deployment
yuichielectric,dive-action,42,0,0,0,0,0,Container CI
pixee,upload-tool-results-action,50,3,2,0,1,0,Security
zentered,vercel-preview-url,26,0,0,0,0,0,Utilities
swinton,screenshot-website,103,5,1,1,3,0,Code Quality
xeol-io,bumpgen,1006,12,4,2,6,0,Utilities
kanga333,variable-mapper,18,0,0,0,0,0,Utilities
Anmol-Baranwal,DevtoGitHub,2,0,0,0,0,0,Utilities
HatsuneMiku3939,direnv-action,71,0,0,0,0,0,Testing
masci,datadog,13,0,0,0,0,0,Monitoring
aws-actions,aws-secretsmanager-get-secrets,106,0,0,0,0,0,Security
sinedied,publish-devto,526,3,0,2,1,0,Deployment
antongolub,action-setup-bun,176,7,4,2,1,0,Continuous Integration
SvanBoxel,zaproxy-to-ghas,25,3,0,1,1,1,Testing
arduino,arduino-lint-action,92,1,0,0,1,0,Testing
balena-io,deploy-to-balena-action,196,0,0,0,0,0,Container CI
dkershner6,aws-ssm-getparameters-action,743,6,3,1,2,0,Deployment
fjogeleit,yaml-update-action,58,3,3,0,0,0,Utilities
vimtor,action-zip,243,24,2,8,11,3,Utilities
oracle-actions,run-oci-cli-command,18,0,0,0,0,0,Deployment
Chocobo1,setup-ccache-action,83,0,0,0,0,0,Utilities
wktk,github-project-connect-action,160,6,3,1,2,0,Utilities
mheap,require-checklist-action,30,0,0,0,0,0,Code Review
crazy-max,ghaction-setup-containerd,590,4,0,0,4,0,Utilities
yuzutech,annotations-action,28,2,0,1,1,0,Code Review
xt0rted,dotnet-format,186,4,0,1,3,0,Code Quality
ecomplus,cloud-commerce,0,0,0,0,0,0,Deployment
DeLaGuardo,setup-clojure,65,0,0,0,0,0,Utilities
MeilCli,npm-update-check-action,30,0,0,0,0,0,Utilities
expo,expo-github-action,14,0,0,0,0,0,Deployment
HardNorth,github-version-generate,37,0,0,0,0,0,Publishing
descope,assume-aws-role-from-gcp-action,669,5,0,1,3,1,Security
