repo_owner,repo_name,Category,Number of Components,Low,Medium,High,Critical,Total Vulnerabilities,CWE Tags,vulnerability-proneness-all,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,labels,topics
tyrrrz,action-http-request,utilities,9,0,0,0,0,0,nan,0.0,27,1,1,5,2,15,2,33,9,0,9,0,33000,9,nan
wandalen,wretry.action,deployment,16,0,0,0,0,0,nan,0.0,30,2,30,24,4,107,8,9202,30,4,30,0,9202000,9,nan
yockow,action-setup-swift,utilities,39,0,0,0,0,0,nan,0.0,30,6,28,3,2,22,3,10133,30,0,30,0,10133000,10," swift, setup-swift"
zqzqsb,multisourcesnake,utilities,1154,9,6,10,0,25," cwe-1333,  cwe-200,  cwe-284,  cwe-400,  cwe-405,  cwe-730,  cwe-74,  cwe-79,  cwe-940,  n/a, cwe-020",25.0,21,1,11,0,1,25,1,2657,0,0,0,0,2657000,9,nan
agallea,tests-coverage-report,code review,40,0,1,1,1,3," cwe-078,  cwe-088, cwe-020",3.0,30,21,10,0,1,24,3,1340,30,7,30,4,1340000,12,nan
abel0b,setup-premake,continuous integration,10,0,1,1,0,2," cwe-74, cwe-1333",2.0,28,2,6,6,3,17,6,203,11,0,7,0,203000,9,nan
abeyuya,actions-mention-to-slack,chat,45,0,3,0,0,3," cwe-200,  cwe-352, cwe-20",3.0,30,12,6,21,2,58,4,9103,30,11,30,10,9103000,10," github-actions,  mention,  slack, bot"
abronin,ecr-retag-action,utilities,594,2,3,5,0,10," cwe-1333,  cwe-200,  cwe-284,  cwe-400,  cwe-476, cwe-020",10.0,25,1,8,8,2,28,1,2206,10,2,6,1,2206000,9," aws-ecr-tools,  docker,  ecr,  github-actions,  github-actions-docker, aws-ecr"
antongolub,action-setup-bun,continuous integration,176,4,6,6,0,16," cwe-080,  cwe-116,  cwe-1321,  cwe-1333,  cwe-200,  cwe-284,  cwe-400,  cwe-730, cwe-020",16.0,30,3,30,0,3,50,2,2331,30,2,30,2,2331000,10," bun,  github,  github-actions, actions"
apexskier,github-release-commenter,utilities,614,0,10,15,3,28," cwe-1333,  cwe-173,  cwe-184,  cwe-20,  cwe-345,  cwe-400,  cwe-476,  cwe-697,  cwe-74,  cwe-915,  cwe-918, cwe-1321",28.0,30,5,30,4,3,24,3,2003,30,7,30,2,2003000,15,nan
aquiladev,ipfs-action,deployment,396,0,7,6,1,14," cwe-1321,  cwe-1333,  cwe-20,  cwe-200,  cwe-352,  cwe-835,  cwe-940, cwe-020",14.0,30,8,29,46,3,179,4,31794,30,9,30,6,31794000,11," deploy,  github,  infura,  ipfs,  pinata,  upload, action"
ardalanamini,auto-changelog,utilities,602,0,1,4,0,5," cwe-1333, cwe-020",5.0,30,6,28,15,2,26,4,7842,30,8,30,5,7842000,13," authors,  changelog,  compare,  contributors,  github,  github-actions,  prerelease,  release,  semver,  utilities, actions"
arduino,arduino-lint-action,testing,92,0,0,1,0,1,cwe-1333,1.0,30,5,4,9,10,47,9,4220,30,6,30,2,4220000,30," ci,  continuous-integration,  github-actions,  linter, arduino"
arduino,setup-arduino-cli,utilities,22,0,0,0,0,0,nan,0.0,30,4,5,10,15,76,9,1073,30,2,30,1,1073000,30," github-actions,  tooling-team, arduino"
ashutoshvarma,action-cmake-build,testing,5,0,1,0,0,1,cwe-74,1.0,30,27,1,10,2,24,3,871,30,31,30,14,871000,11,action
ashutoshvarma,setup-ninja,utilities,62,0,6,6,1,13," cwe-080,  cwe-116,  cwe-1321,  cwe-22,  cwe-74,  cwe-915,  cwe-918, cwe-020",13.0,30,8,2,7,1,15,3,1846,24,12,20,9,1846000,10,nan
aslafy-z,conventional-pr-title-action,code review,126,0,1,0,0,1," cwe-088, cwe-078",1.0,30,9,30,35,3,85,7,16446,30,0,30,0,16446000,14," conventional-commits,  github-actions,  hacktoberfest,  pr-title,  pull-requests, conventional-changelog"
astral-sh,setup-uv,utilities,107,0,2,10,0,12," cwe-338,  cwe-400,  cwe-730, cwe-020",12.0,30,10,30,25,4,286,14,6462,30,13,30,1,6462000,19,nan
atalent-labs,404-links,code quality,51,0,0,0,0,0,nan,0.0,30,3,11,2,2,18,3,11655,30,2,30,2,11655000,10," automation,  awesome,  github-actions,  markdown,  qa,  quality,  spellcheck, actions"
atlassian,gajira-create,project management,612,0,2,11,1,14," cwe-1321,  cwe-1333,  cwe-184,  cwe-248,  cwe-400, cwe-020",14.0,30,7,6,33,34,60,7,889,30,16,30,3,889000,9,nan
auguwu,clippy-action,utilities,5,0,1,1,0,2,cwe-020,2.0,30,1,9,3,1,18,4,4479,30,1,30,0,4479000,11," clippy,  github-action,  typescript, cargo-clippy"
autero1,action-terragrunt,deployment,39,0,0,1,0,1,cwe-020,1.0,30,9,13,25,4,59,11,1404,30,6,30,3,1404000,16," github-actions,  terraform,  terragrunt, actions"
aws-actions,amazon-ecr-login,deployment,102,0,0,0,0,0,nan,0.0,30,6,30,180,23,957,26,32618,30,32,30,2,32618000,11,nan
