repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,commit_count,issue_count,network_count,subscribers_count,languages,lang_javascript,lang_typescript,lang_shell,lang_dockerfile,lang_python,lang_mustache,lang_handlebars,lang_html,lang_kotlin,lang_powershell,lang_makefile,lang_smarty,lang_cmake,lang_cplusplus,lang_ruby,lang_vue,lang_css,lang_swift,lang_rust,lang_hcl,lang_batchfile,lang_c#,lang_dart,lang_julia,lang_odin,lang_java,lang_nix,lang_objective_c,lang_jinja,lang_nunjucks,lang_jq,lang_php,lang_agda,lang_lua
hardnorth,github-version-generate,publishing,37,3.0,2,9,3,2,24,2,1391,30,0,30,0,1391000,1,"A GitHub action for application version bump, generation, reading and format in release pipelines",JavaScript,Apache License 2.0,False,True,24.0,249,50.0,3.0,2.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatsunemiku3939,direnv-action,testing,71,6.0,4,8,12,3,27,3,5226,30,8,30,3,5226000,1,Provide environment variables via direnv.,JavaScript,MIT License,False,True,28.0,248,272.0,12.0,3.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamesives,fetch-api-data-action,utilities,473,2.0,7,27,13,2,115,7,35535,30,3,30,2,35535000,0,"🚚  GitHub action for handling authenticated API requests, allowing you to save the data from the request into your workspace as an environment variable and a .json file.",TypeScript,MIT License,True,True,117.0,639,1137.0,13.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamesives,github-pages-deploy-action,deployment,509,2.0,14,30,367,18,4352,30,85019,30,9,30,3,85019000,0,🚀 Automatically deploy your project to GitHub Pages using GitHub Actions. This action can be configured to push your production-ready code into any branch you'd like.,TypeScript,MIT License,True,True,4363.0,1496,1595.0,368.0,18.0,"['TypeScript', 'JavaScript', 'HTML']",1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
jarvusinnovations,background-action,utilities,34,3.0,4,5,10,5,33,7,2378,30,6,30,2,2378000,1,Background commands with log tailing/capture; waits until file/port/socket/http are ready to proceed. Isolates/dedupe errors.,JavaScript,Apache License 2.0,False,True,34.0,90,205.0,10.0,5.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jasonetco,build-and-tag-action,publishing,80,6.0,1,16,36,4,96,7,539,30,16,30,7,539000,1,📦🔖 A GitHub Action for publishing JavaScript Actions,TypeScript,MIT License,False,True,96.0,79,48.0,36.0,4.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jasonetco,create-an-issue,project management,112,5.0,4,22,87,10,274,11,1221,30,21,30,5,1221000,1,A GitHub Action for creating a new issue from a template file.,TypeScript,MIT License,False,True,277.0,273,173.0,88.0,10.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jetbrains,qodana-action,security,320,8.0,24,30,40,15,270,15,20491,30,4,30,3,20491000,2,"⚙️ Scan your Go, Java, Kotlin, PHP, Python, JavaScript, TypeScript, .NET projects at GitHub with Qodana. This repository contains Qodana for Azure, GitHub, CircleCI and Gradle",JavaScript,Apache License 2.0,True,True,269.0,672,448.0,40.0,14.0,"['JavaScript', 'TypeScript', 'Kotlin', 'Shell']",1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
jorelali,setup-elm,continuous integration,7,0.0,2,6,6,3,29,7,108,12,1,8,0,108000,0,Set up your GitHub Actions workflow with a specific version of Elm,JavaScript,MIT License,False,True,29.0,31,12.0,6.0,3.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jtalk,url-health-check-action,testing,35,0.0,1,13,18,3,75,5,252,29,1,17,0,252000,0,A cURL-based health check with build-in retry ,JavaScript,MIT License,False,True,75.0,64,31.0,18.0,3.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
