repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,commit_count,issue_count,network_count,subscribers_count,languages,lang_javascript,lang_typescript,lang_shell,lang_dockerfile,lang_python,lang_mustache,lang_handlebars,lang_html,lang_kotlin,lang_powershell,lang_makefile,lang_smarty,lang_cmake,lang_cplusplus,lang_ruby,lang_vue,lang_css,lang_swift,lang_rust,lang_hcl,lang_batchfile,lang_c#,lang_dart,lang_julia,lang_odin,lang_java,lang_nix,lang_objective_c,lang_jinja,lang_nunjucks,lang_jq,lang_php,lang_agda,lang_lua
shogo82148,actions-setup-redis,testing,49,0.0,6,30,2,3,38,4,5695,30,7,30,4,5695000,0,Setup Redis database Action,TypeScript,MIT License,False,True,38.0,1961,1053.0,2.0,3.0,"['TypeScript', 'Shell', 'JavaScript']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shogo82148,actions-upload-release-asset,publishing,28,0.0,6,30,7,2,81,4,5971,30,6,30,3,5971000,0,Yet Another Upload Release Asset Action,TypeScript,MIT License,False,True,81.0,1692,934.0,7.0,2.0,"['TypeScript', 'Shell', 'JavaScript']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shonansurvivors,actions-s3-cache,deployment,22,10.0,8,2,13,1,13,1,746,15,4,14,3,746000,2,,JavaScript,MIT License,False,True,13.0,25,15.0,13.0,1.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sibiraj-s,action-eslint,code quality,31,4.0,1,15,15,4,47,9,598,22,3,11,1,598000,1,✅ GitHub Action that runs ESLint on files changed in a Pull Request,TypeScript,MIT License,False,True,46.0,139,23.0,16.0,4.0,"['TypeScript', 'Shell']",,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinedied,publish-devto,deployment,526,5.0,2,1,8,5,39,3,1653,30,3,27,0,1653000,1,":postbox: GitHub Action to publish markdown files on dev.to platform, with assets hosted on GitHub.",JavaScript,MIT License,False,False,39.0,103,38.0,8.0,5.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
softprops,setup-aws-copilot,deployment,10,2.0,1,1,19,5,26,3,157,9,2,8,1,157000,0,👩‍✈️ A GitHub Action for setting up and configuring the AWS Copilot command line interface,TypeScript,MIT License,False,False,26.0,14,9.0,19.0,5.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squarecloudofc,github-action,deployment,32,3.0,1,7,0,0,18,3,753,1,0,1,0,753000,1,,,,,,,48,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stainless-api,upload-openapi-spec-action,utilities,167,2.0,23,9,7,3,14,11,1047,30,10,30,9,1047000,0,,,,,,,152,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steffen-karlsson,stalesweeper,support,19,5.0,2,4,0,1,11,2,2513,24,3,22,1,2513000,1,Automatically closes stale discussions to declutter your GitHub Discussion space,TypeScript,MIT License,False,False,11.0,62,24.0,0.0,1.0,"['TypeScript', 'Shell']",,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step-security,wait-for-secrets,security,37,1.0,14,8,18,3,279,7,4858,30,18,30,8,4858000,0,Publish from GitHub Actions using multi-factor authentication,TypeScript,Apache License 2.0,True,True,282.0,146,292.0,18.0,3.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stepci,stepci,testing,281,5.0,4,30,78,12,1696,18,508,30,59,30,5,508000,1,Automated API Testing and Quality Assurance,TypeScript,Mozilla Public License 2.0,False,True,1708.0,171,175.0,80.0,12.0,"['TypeScript', 'Shell', 'Dockerfile']",,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stoat-dev,stoat-action,utilities,2607,28.0,6,14,3,1,67,4,11262,30,18,30,4,11262000,2,Turn pull request comments into developer dashboards.,TypeScript,MIT License,False,True,67.0,152,274.0,3.0,1.0,"['TypeScript', 'CSS', 'JavaScript', 'HTML', 'Shell', 'Handlebars', 'Jinja']",1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
superman66,wakatime-sync,project management,52,9.0,3,1,107,3,115,4,933,30,5,16,3,933000,2,,,,,,,90,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swinton,screenshot-website,code quality,103,5.0,15,2,26,4,191,3,2388,30,17,30,7,2388000,1,":camera_flash: A GitHub Action to capture screenshots of a website, across Windows, Mac, and Linux",JavaScript,ISC License,False,True,191.0,134,141.0,27.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synopsys-sig,detect-action,security,57,8.0,13,2,32,9,28,6,5956,30,43,30,14,5956000,2,,TypeScript,Apache License 2.0,False,True,28.0,268,83.0,32.0,9.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sysdiglabs,scan-action,security,36,7.0,8,11,10,12,30,8,1069,30,7,30,4,1069000,2,Inline Image Scan Github Action,TypeScript,Apache License 2.0,False,True,30.0,64,70.0,10.0,11.0,"['TypeScript', 'Nix', 'Shell', 'JavaScript']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
szenius,notion-burndown,project management,59,9.0,1,7,24,4,64,2,4527,30,0,30,0,4527000,2,,,,,,,1297,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teatimeguest,setup-texlive-action,utilities,125,3.0,4,30,2,4,44,3,10384,30,11,30,2,10384000,1,A GitHub Action to set up TeX Live,TypeScript,MIT License,False,True,45.0,645,346.0,2.0,4.0,"['TypeScript', 'JavaScript', 'Shell', 'Nunjucks', 'jq']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
technote-space,create-pr-action,utilities,731,25.0,8,30,6,2,30,2,21063,30,5,30,4,21063000,2,GitHub Actions to manage PullRequest,TypeScript,MIT License,False,True,31.0,984,262.0,6.0,2.0,"['TypeScript', 'JavaScript', 'Shell']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-room-7,action-update-file,utilities,53,3.0,2,17,10,3,40,6,581,24,4,12,1,581000,1,Update (i.e. commit and push) files on GitHub,TypeScript,MIT License,False,True,40.0,108,24.0,10.0,3.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-summary,action,testing,25,0.0,2,6,34,2,408,8,250,30,20,18,2,250000,0,Show a helpful summary of test results in GitHub Actions CI/CD workflow runs,TypeScript,MIT License,False,True,410.0,47,51.0,35.0,2.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-actions-org,workflow-dispatch,utilities,161,4.0,6,5,51,3,69,11,437,24,1,24,1,437000,1,"A GitHub Action for triggering workflows, using the `workflow_dispatch` event",TypeScript,MIT License,False,False,69.0,81,24.0,129.0,3.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thomaseizinger,keep-a-changelog-new-release,publishing,952,27.0,6,8,38,4,57,6,369,29,2,10,0,369000,2,Automatically update your CHANGELOG.md for a new release,TypeScript,MIT License,False,True,58.0,38,29.0,38.0,4.0,"['TypeScript', 'JavaScript', 'Shell']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tibdex,backport,utilities,477,5.0,9,8,66,4,74,9,2167,30,11,30,4,2167000,1,🔙 GitHub Action to backport pull requests,TypeScript,MIT License,False,True,74.0,54,114.0,66.0,4.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tinovyatkin,action-php-codesniffer,code review,45,4.0,15,1,26,3,23,3,844,30,25,30,9,844000,1,Github Action to check your code with PHP_CodeSniffer that can check only PR changed files or even lines,TypeScript,MIT License,False,True,23.0,157,143.0,25.0,3.0,"['TypeScript', 'PHP', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
tj-actions,glob,continuous integration,543,1.0,8,30,21,2,17,10,9286,30,9,30,3,9286000,0,:octocat: Github action to match glob patterns with support for matching deleted files.,TypeScript,MIT License,False,True,17.0,2429,1612.0,21.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmcw,notfoundbot,monitoring,642,39.0,5,9,7,4,114,6,3038,30,9,30,1,3038000,2,,,,,,,112,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toshimaru,auto-author-assign,project management,27,1.0,4,30,21,4,105,6,1464,30,7,30,2,1464000,0,GitHub Actions: Automatically assign pull request authors.,JavaScript,MIT License,False,True,108.0,137,107.0,21.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tubone24,update_release,deployment,66,7.0,20,4,6,3,16,7,1500,30,23,30,10,1500000,2,This GitHub Action (written in JavaScript) is to change the Body Text and Name of an already created Release with using the GitHub Release API.,TypeScript,MIT License,False,True,16.0,423,719.0,6.0,3.0,"['TypeScript', 'JavaScript', 'Shell']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turtlequeue,setup-babashka,container ci,569,10.0,3,9,4,3,28,3,225,24,3,16,0,225000,2,github actions for installing borkdude/babashka,TypeScript,Eclipse Public License 1.0,False,False,28.0,20,24.0,4.0,3.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
umani,changed-files,utilities,160,5.0,6,13,16,3,28,8,2003,30,2,23,1,2003000,1,GitHub action to export a PR's changed files,TypeScript,MIT License,False,True,28.0,44,31.0,16.0,3.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usimd,pi-gen-action,publishing,52,3.0,6,8,11,3,49,4,1309,30,8,30,3,1309000,1,Action to build Raspberry Pi images using official pi-gen tool,TypeScript,MIT License,False,True,50.0,236,148.0,12.0,3.0,"['TypeScript', 'Shell', 'JavaScript']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
varunsridharan,action-github-workflow-sync,utilities,53,3.0,5,8,15,3,65,7,1082,30,10,13,1,1082000,1,Github Action To Sync Github Action's Workflow Files Across Repositories,JavaScript,MIT License,True,True,66.0,69,32.0,15.0,3.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vimtor,action-zip,utilities,243,26.0,1,3,33,3,89,11,50,30,10,15,0,50000,2,🗄️ Action for zipping files easily,JavaScript,MIT License,False,False,88.0,43,35.0,33.0,3.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vio,bundle-stats-action,utilities,90,5.0,22,8,1,3,19,3,9559,30,25,30,12,9559000,1,Generates bundle-stats reports for webpack stats.,JavaScript,MIT License,False,True,19.0,106,271.0,1.0,3.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlaurin,action-ghcr-prune,utilities,30,1.0,8,6,9,3,47,3,652,30,9,30,7,652000,0,GitHub Action to prune container versions from GitHub Container Registry (ghcr.io),JavaScript,MIT License,False,False,47.0,71,88.0,9.0,3.0,"['JavaScript', 'Dockerfile']",1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vn7n24fzkq,github-profile-summary-cards,utilities,143,10.0,4,30,334,16,2778,30,22122,30,29,30,2,22122000,2,A tool to generate your github summary card for profile README,TypeScript,MIT License,False,True,2808.0,322,202.0,337.0,16.0,"['TypeScript', 'HTML']",,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
volta-cli,action,utilities,4,7.0,8,30,24,3,97,13,26719,30,13,30,6,26719000,2,GitHub Action to Setup Volta,TypeScript,MIT License,False,True,99.0,330,163.0,24.0,3.0,"['TypeScript', 'JavaScript', 'Shell']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wangyucode,sftp-upload-action,deployment,10,0.0,1,14,23,3,59,5,1715,30,1,14,0,1715000,0,,,,,,,84,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wdzeng,edge-addon,publishing,447,4.0,5,13,2,2,16,5,823,16,1,6,0,823000,1,GitHub Action for publishing extension to Microsoft Edge Add-on!,TypeScript,MIT License,False,False,16.0,91,16.0,2.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we-cli,coverage-badge-action,testing,3,0.0,3,1,11,1,49,3,11,4,0,3,0,11000,0,Create a coverage badge via GitHub Actions,JavaScript,MIT License,False,False,50.0,12,4.0,11.0,1.0,"['JavaScript', 'Python']",1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wechuli,allcheckspassed,security,36,2.0,3,4,4,0,23,5,1378,30,4,30,2,1378000,0,GitHub Action to confirm that all checks reported on a commit have passed,TypeScript,MIT License,False,True,23.0,221,72.0,4.0,0.0,"['TypeScript', 'Shell']",,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wenkokke,setup-agda,utilities,195,9.0,11,9,3,3,26,4,16888,30,16,30,0,16888000,2,Set up a specific version of Agda for your GitHub Actions workflow.,TypeScript,Other,False,False,26.0,939,224.0,3.0,3.0,"['TypeScript', 'JavaScript', 'Agda', 'Shell']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
wktk,github-project-connect-action,utilities,160,8.0,9,7,2,3,14,5,1852,30,8,30,7,1852000,2,Connect Pull Request statuses to Issues on GitHub Project (classic) boards.,TypeScript,MIT License,False,True,14.0,334,269.0,2.0,3.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
workflow,nix-shell-action,dependency management,12,1.0,7,13,10,5,43,4,1273,30,5,30,4,1273000,0,Run any command you like in a deterministic Nix shell on Linux and macOS.,TypeScript,MIT License,False,True,44.0,134,362.0,10.0,5.0,"['TypeScript', 'Nix', 'Shell']",,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
worksome,jira-branch-name-validator-action,code quality,3,2.0,2,30,1,18,13,4,104,14,1,12,0,104000,0,A GitHub action for validating if the branch name is contains JIRA id,TypeScript,MIT License,False,True,13.0,51,14.0,1.0,18.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xavierlowmiller,xcodegen-action,mobile ci,9,0.0,2,11,6,1,13,8,1341,18,1,14,0,1341000,0,,,,,,,55,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xeol-io,bumpgen,utilities,1006,12.0,19,2,5,3,110,3,283,30,9,30,3,283000,2,bumpgen is an AI agent that upgrades npm packages ,TypeScript,MIT License,False,True,113.0,77,106.0,8.0,2.0,"['TypeScript', 'JavaScript', 'Shell']",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xmake-io,github-action-setup-xmake,utilities,445,6.0,3,7,6,4,30,6,2762,30,1,23,0,2762000,1,Set up your GitHub Actions workflow with a specific version of xmake,TypeScript,GNU General Public License v3.0,True,True,31.0,175,38.0,7.0,5.0,"['TypeScript', 'Lua', 'C++', 'JavaScript']",1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
xt0rted,dotnet-format,code quality,186,4.0,14,4,26,4,32,4,1062,30,17,30,4,1062000,1,A GitHub Action to run dotnet-format as part of your workflow,TypeScript,MIT License,False,True,32.0,951,570.0,26.0,4.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xt0rted,slash-command-action,chat,35,0.0,10,4,8,3,67,5,3794,30,15,30,3,3794000,0,A GitHub Action to check comments for slash commands,TypeScript,MIT License,False,True,67.0,1466,847.0,8.0,3.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yanamura,git-flow-merge-action,utilities,352,6.0,9,5,1,2,15,3,1347,30,7,30,5,1347000,1,,TypeScript,MIT License,False,True,15.0,417,560.0,1.0,2.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yc-actions,yc-sls-container-deploy,deployment,104,2.0,7,7,9,2,30,7,27526,30,1,30,0,27526000,0,GitHub Action to deploy Serverless Container to Yandex Cloud,TypeScript,MIT License,False,False,30.0,1248,799.0,8.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogeshpaliyal,upload-indus-appstore,deployment,34,3.0,7,6,0,1,19,1,11410,30,10,30,6,11410000,1,"Upload AAB file to get Indus App store, fetch app versions, get app stats, etc.",TypeScript,MIT License,False,True,19.0,32,52.0,0.0,1.0,"['TypeScript', 'Shell']",,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yuichielectric,dive-action,container ci,42,2.0,16,4,14,2,11,3,2641,30,14,30,2,2641000,0,Runs dive as GitHub action to scan your Docker image to find wasted disk space,TypeScript,MIT License,False,True,11.0,1292,758.0,12.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yuzutech,annotations-action,code review,28,3.0,2,18,16,3,37,7,180,30,11,30,1,180000,1,GitHub action to create annotations from a JSON file,JavaScript,MIT License,False,False,38.0,79,68.0,15.0,3.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zentered,vercel-preview-url,utilities,26,2.0,1,21,11,2,32,7,2700,30,0,30,0,2700000,0,GitHub Action to receive the deployment preview URL from Vercel,JavaScript,MIT License,False,True,32.0,205,170.0,11.0,2.0,"['JavaScript', 'Shell']",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
