repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq
dailydotdev,action-devcard,utilities,190,2.0,4,14,15,4,98,9,12119,30,5,30,3,12119000,0
danielpalme,reportgenerator-github-action,testing,9,0.0,1,30,7,2,74,3,472,21,0,6,0,472000,0
darenm,setup-vstest,testing,33,2.0,8,5,8,2,24,4,3776,29,4,23,4,3776000,0
dataaxiom,ghcr-cleanup-action,container ci,67,10.0,7,16,5,1,32,6,10594,30,7,30,6,10594000,2
davelosert,vitest-coverage-report-action,testing,38,3.0,6,20,22,3,172,13,7034,30,10,30,1,7034000,1
davidb,rust-cargo-make,deployment,32,2.0,4,14,6,3,32,4,2338,30,0,30,0,2338000,0
dawidd6,action-ansible-playbook,deployment,11,2.0,1,18,69,5,319,10,1004,30,9,30,0,1004000,0
de-vri-es,setup-git-credentials,security,11,0.0,1,11,21,4,90,7,9641,30,2,13,0,9641000,0
descope,assume-aws-role-from-gcp-action,security,669,6.0,10,3,0,2,13,5,17378,30,10,30,9,17378000,1
dessant,lock-threads,project management,35,5.0,1,12,36,10,316,3,1878,30,6,14,3,1878000,1
devops-actions,json-to-file,utilities,51,3.0,2,5,13,1,12,6,1347,30,1,30,1,1347000,1
dhall-lang,setup-dhall,dependency management,8,6.0,1,5,7,4,15,5,56,11,3,6,0,56000,1
di-sukharev,opencommit,utilities,234,14.0,19,3,344,26,6351,30,10079,30,155,30,5,10079000,2
dineshsonachalam,markdown-autodocs,deployment,6,0.0,17,8,17,2,186,3,8955,30,2,19,0,8955000,0
dkershner6,aws-ssm-getparameters-action,deployment,743,8.0,8,6,16,3,25,5,2214,30,6,30,4,2214000,2
dkershner6,jest-coverage-commenter-action,code review,665,10.0,30,6,5,3,14,2,1029,30,29,30,19,1029000,2
dlemstra,code-sign-action,security,9,2.0,1,1,67,2,32,9,243,22,0,15,0,243000,0
docker,setup-buildx-action,container ci,709,4.0,3,30,171,17,1041,11,27403,30,13,30,0,27403000,1
